NAME,Fees,Students,Geo Point,Geo Shape,ADDRESS,CITY,STATE,POPULATION,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,PT_ENROLL,FT_ENROLL,TOT_ENROLL,HOUSING,DORM_CAP,TOT_EMP
MORNINGSIDE COLLEGE,33334.56171284635,12876.308080808081,"42.47323951200008, -96.36073803699998","{""coordinates"":[-96.36073803699998,42.47323951200008],""type"":""Point""}",1501 MORNINGSIDE AVE,SIOUX CITY,IA,2863.0,42.47323951200008,-96.36073803699998,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1209.0,1202.0,2411.0,1.0,808.0,452.0
MORRIS COLLEGE,33334.56171284635,12876.308080808081,"33.938750484000025, -80.34617040099994","{""coordinates"":[-80.34617040099994,33.938750484000025],""type"":""Point""}",100 WEST COLLEGE STREET,SUMTER,SC,525.0,33.938750484000025,-80.34617040099994,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",29.0,366.0,395.0,1.0,834.0,130.0
MORRIS COUNTY VOCATIONAL SCHOOL DISTRICT,33334.56171284635,12876.308080808081,"40.878583251000066, -74.47900815299994","{""coordinates"":[-74.47900815299994,40.878583251000066],""type"":""Point""}",400 E MAIN ST,DENVILLE,NJ,35.0,40.87858325100007,-74.47900815299994,611519.0,OTHER TECHNICAL AND TRADE SCHOOLS,-999.0,33.0,33.0,2.0,-999.0,2.0
MORRISON INSTITUTE OF TECHNOLOGY,33334.56171284635,12876.308080808081,"41.80176511900004, -89.96626670999996","{""coordinates"":[-89.96626670999996,41.80176511900004],""type"":""Point""}",701 PORTLAND AVE,MORRISON,IL,95.0,41.80176511900004,-89.96626670999996,611210.0,JUNIOR COLLEGES,1.0,78.0,79.0,1.0,132.0,16.0
MORTON COLLEGE,33334.56171284635,12876.308080808081,"41.82430258100004, -87.76230561399996","{""coordinates"":[-87.76230561399996,41.82430258100004],""type"":""Point""}",3801 S CENTRAL AVE,CICERO,IL,4022.0,41.82430258100004,-87.76230561399996,611210.0,JUNIOR COLLEGES,2657.0,961.0,3618.0,2.0,-999.0,404.0
MOTLOW STATE COMMUNITY COLLEGE,33334.56171284635,12876.308080808081,"35.365519240000026, -86.29940569299998","{""coordinates"":[-86.29940569299998,35.365519240000026],""type"":""Point""}",6015 LEDFORD MILL ROAD,TULLAHOMA,TN,7109.0,35.365519240000026,-86.29940569299998,611210.0,JUNIOR COLLEGES,3489.0,3127.0,6616.0,2.0,-999.0,493.0
MOTORING TECHNICAL TRAINING INSTITUTE,33334.56171284635,12876.308080808081,"41.79188419800005, -71.32490926299994","{""coordinates"":[-71.32490926299994,41.79188419800005],""type"":""Point""}",1241 FALL RIVER AVENUE,SEEKONK,MA,338.0,41.79188419800005,-71.32490926299994,611519.0,OTHER TECHNICAL AND TRADE SCHOOLS,64.0,228.0,292.0,2.0,-999.0,46.0
MOTORING TECHNICAL TRAINING INSTITUTE,33334.56171284635,12876.308080808081,"41.81866311700003, -71.38480381199997","{""coordinates"":[-71.38480381199997,41.81866311700003],""type"":""Point""}",54 WATER STREET,EAST PROVIDENCE,RI,68.0,41.81866311700003,-71.38480381199997,611519.0,OTHER TECHNICAL AND TRADE SCHOOLS,17.0,43.0,60.0,2.0,-999.0,8.0
MOTT COMMUNITY COLLEGE,33334.56171284635,12876.308080808081,"43.019940904000066, -83.67243029599996","{""coordinates"":[-83.67243029599996,43.019940904000066],""type"":""Point""}",1401 E COURT ST,FLINT,MI,6619.0,43.01994090400007,-83.67243029599996,611210.0,JUNIOR COLLEGES,4155.0,1765.0,5920.0,2.0,-999.0,699.0
MOUNT ALOYSIUS COLLEGE,33334.56171284635,12876.308080808081,"40.45967900900007, -78.60089768899996","{""coordinates"":[-78.60089768899996,40.45967900900007],""type"":""Point""}",7373 ADMIRAL PEARY HWY,CRESSON,PA,3111.0,40.45967900900007,-78.60089768899996,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1824.0,982.0,2806.0,1.0,540.0,305.0
MOUNT ANGEL SEMINARY,33334.56171284635,12876.308080808081,"45.057871, -122.775405","{""coordinates"":[-122.775405,45.057871],""type"":""Point""}",1 ABBEY DRIVE,SAINT BENEDICT,OR,164.0,45.057871,-122.775405,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",26.0,101.0,127.0,1.0,144.0,37.0
MOUNT CARMEL COLLEGE OF NURSING,33334.56171284635,12876.308080808081,"39.95724195100007, -83.02018408599997","{""coordinates"":[-83.02018408599997,39.95724195100007],""type"":""Point""}",127 SO. DAVIS AVE,COLUMBUS,OH,1048.0,39.95724195100007,-83.02018408599997,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",188.0,715.0,903.0,1.0,120.0,145.0
MOUNT HOLYOKE COLLEGE,33334.56171284635,12876.308080808081,"42.257587769000054, -72.57362511099996","{""coordinates"":[-72.57362511099996,42.257587769000054],""type"":""Point""}",50 COLLEGE STREET,SOUTH HADLEY,MA,2883.0,42.25758776900005,-72.57362511099996,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",128.0,1912.0,2040.0,1.0,2180.0,843.0
MOUNT MARTY UNIVERSITY,33334.56171284635,12876.308080808081,"42.87447516900005, -97.40990354599995","{""coordinates"":[-97.40990354599995,42.87447516900005],""type"":""Point""}",1105 W. 8TH STREET,YANKTON,SD,1364.0,42.87447516900005,-97.40990354599997,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",426.0,741.0,1167.0,1.0,441.0,197.0
MOUNT MARY UNIVERSITY,33334.56171284635,12876.308080808081,"43.072302946000036, -88.03059393599995","{""coordinates"":[-88.03059393599995,43.072302946000036],""type"":""Point""}",2900 N. MENOMONEE RIVER PKY,MILWAUKEE,WI,1525.0,43.07230294600004,-88.03059393599995,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",167.0,1033.0,1200.0,1.0,245.0,325.0
MOUNT MERCY UNIVERSITY,33334.56171284635,12876.308080808081,"42.001930694000066, -91.65099119799999","{""coordinates"":[-91.65099119799999,42.001930694000066],""type"":""Point""}",1330 ELMHURST DR NE,CEDAR RAPIDS,IA,2074.0,42.00193069400007,-91.650991198,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",548.0,1157.0,1705.0,1.0,441.0,369.0
MOUNT SAINT JOSEPH UNIVERSITY,33334.56171284635,12876.308080808081,"39.09451932600007, -84.64014269699999","{""coordinates"":[-84.64014269699999,39.09451932600007],""type"":""Point""}",5701 DELHI RD,CINCINNATI,OH,2535.0,39.09451932600007,-84.64014269699999,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",767.0,1264.0,2031.0,1.0,466.0,504.0
MOUNT SAINT MARY COLLEGE,33334.56171284635,12876.308080808081,"41.510469527000055, -74.01212503699998","{""coordinates"":[-74.01212503699998,41.510469527000055],""type"":""Point""}",330 POWELL AVENUE,NEWBURGH,NY,2634.0,41.510469527000055,-74.01212503699998,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",596.0,1529.0,2125.0,1.0,881.0,509.0
MOUNT SAINT MARY'S UNIVERSITY,33334.56171284635,12876.308080808081,"34.085097990000065, -118.48267574399995","{""coordinates"":[-118.48267574399995,34.085097990000065],""type"":""Point""}",12001 CHALON RD,LOS ANGELES,CA,3458.0,34.085097990000065,-118.48267574399996,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",546.0,2199.0,2745.0,1.0,650.0,713.0
MOUNT ST. MARY'S UNIVERSITY,33334.56171284635,12876.308080808081,"39.68063211100008, -77.35221997399998","{""coordinates"":[-77.35221997399998,39.68063211100008],""type"":""Point""}",16300 OLD EMMITSBURG ROAD,EMMITSBURG,MD,3169.0,39.68063211100008,-77.35221997399998,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",365.0,2195.0,2560.0,1.0,1432.0,609.0
MOUNT VERNON NAZARENE UNIVERSITY,33334.56171284635,12876.308080808081,"40.37385861400003, -82.47466669899995","{""coordinates"":[-82.47466669899995,40.37385861400003],""type"":""Point""}",800 MARTINSBURG RD,MOUNT VERNON,OH,2810.0,40.37385861400003,-82.47466669899995,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",381.0,1759.0,2140.0,1.0,1108.0,670.0
MOUNT WACHUSETT COMMUNITY COLLEGE,33334.56171284635,12876.308080808081,"42.59315066900007, -71.98414894999996","{""coordinates"":[-71.98414894999996,42.59315066900007],""type"":""Point""}",444 GREEN ST,GARDNER,MA,4124.0,42.59315066900007,-71.98414894999996,611210.0,JUNIOR COLLEGES,2166.0,1021.0,3187.0,2.0,-999.0,937.0
MOUNTAIN EMPIRE COMMUNITY COLLEGE,33334.56171284635,12876.308080808081,"36.85511589300006, -82.75848215199994","{""coordinates"":[-82.75848215199994,36.85511589300006],""type"":""Point""}",3441 MOUNTAIN EMPIRE ROAD,BIG STONE GAP,VA,2501.0,36.85511589300006,-82.75848215199994,611210.0,JUNIOR COLLEGES,1243.0,1010.0,2253.0,2.0,-999.0,248.0
MOUNTAIN STATE COLLEGE,33334.56171284635,12876.308080808081,"39.27378749400003, -81.54884511999995","{""coordinates"":[-81.54884511999995,39.27378749400003],""type"":""Point""}",1508 SPRING ST,PARKERSBURG,WV,31.0,39.27378749400003,-81.54884511999995,611210.0,JUNIOR COLLEGES,-999.0,23.0,23.0,2.0,-999.0,8.0
MOUNTAIN STATE SCHOOL OF MASSAGE,33334.56171284635,12876.308080808081,"38.31754138400004, -81.57959421099997","{""coordinates"":[-81.57959421099997,38.31754138400004],""type"":""Point""}",601 50TH ST,CHARLESTON,WV,33.0,38.31754138400004,-81.57959421099997,611519.0,OTHER TECHNICAL AND TRADE SCHOOLS,-999.0,24.0,24.0,2.0,-999.0,9.0
MOUNTAIN VIEW COLLEGE,33334.56171284635,12876.308080808081,"32.72657292300005, -96.90379760599996","{""coordinates"":[-96.90379760599996,32.72657292300005],""type"":""Point""}",4849 WEST ILLINOIS AVE.,DALLAS,TX,-999.0,32.72657292300005,-96.90379760599996,611210.0,JUNIOR COLLEGES,-999.0,-999.0,-999.0,-1.0,-999.0,-999.0
